Country,Datetime,Tweet Id,Text,Username,Tweets_clean,VADER_class,VADER_score
Argentina,2022-12-17 23:55:02+00:00,1604263934730854406,"Ex-Manchester United captain predicts the winner of FIFA World Cup 2022 final between Argentina and France
https://t.co/UjcKSO4JZH",sportnewsblogd1,united captain the winner of world cup 2022 final between and,Positive,0.765
Argentina,2022-12-17 23:48:26+00:00,1604262273543176192,@FIFAWorldCup This it's gonna be tight game and Argentina will be winners 🏆🇦🇷💙,im_abhay4u,this its be tight game and will 🏆🇦🇷💙,Positive,0.6369
Argentina,2022-12-17 23:48:06+00:00,1604262191812722688,"@FIFAWorldCup While everyone is waiting for the World Cup final between Argentina and France
 There is another final that has already been launched, titled
 Who would say he beat a world champion? https://t.co/B1WGcAJyl8",i8u9i,while everyone is waiting for the world cup final between and there another that already been titled who would say he beat a champion,Positive,0.5994
Argentina,2022-12-17 23:46:08+00:00,1604261695597207557,"@FIFAWorldCup Don't mess it up with your unfair referee rules in favor of Argentina !! We all saw what happened in ARG-NED ! We want equality, Messi and Mbappé deserve to be treated with the same respect ! #WorldCup2022 #FRAARG",Bal_Aissata,dont mess it up with your unfair referee in favor of we all saw what want equality and deserve to be the same respect worldcup2022,Positive,0.6261
Argentina,2022-12-17 23:46:06+00:00,1604261686399176704,"Mbappe please humble Argentina and messi! Save humanity from an upcoming catastrophe 🇫🇷🇫🇷 

#FIFAWorldCup #Francia #France #avengeronaldo https://t.co/DETnGBskNy",md7y_,please humble and save humanity from an upcoming catastrophe 🇫🇷🇫🇷,Neutral,0.0258
Argentina,2022-12-17 23:42:41+00:00,1604260827992887296,"#FIFAWorldCup Final Eve🥰

⏰3pm
🇦🇷Argentina V France🇫🇷

So excited for this, a game that comes once every 4 years … who’s lifting the 🏆?

Good Luck to both teams involved and may the best team on the day be victorious! 💙❤️
#ARG #FRA https://t.co/Du640KIsNS",AntonioMango4,final eve 🥰 ⏰ 3pm 🇦🇷 v 🇫🇷 so excited for this a game that comes once every 4 … who ’ s lifting the 🏆 good luck to both involved and may best team on day be victorious 💙❤️ fra,Positive,0.973
Argentina,2022-12-17 23:38:30+00:00,1604259775075737602,"@football_ll55 Allah knows this.  Today, football will be on its way.  FIFA and Qatar are commendable.  Each team should get two reviews in future.  Sports is for everyone.  The world should separate sports from politics..
@FIFAWorldCup @fifamedia @QatarFoot_fr @Argentina @equipedefrance",SulemanKhan1976,footballll55 this today football will be on its way and are commendable each team should get two in future sports is for everyone the world separate from politics,Neutral,0.0
Argentina,2022-12-17 23:38:26+00:00,1604259759242170368,"@BirbDefi Argentina🇦🇷 1 - 1 France🇨🇵.. in 90 minutes of normal time, but the game will continue with extra time and will be won by Argentina🇦🇷

@daniell_crypto 
@sasukeizi @btcethsoll 

#FIFAWorldCup #FIFAWorldCupQatar2022",RizaladiiP,🇦🇷 1 🇨🇵 in 90 of normal time but the game will continue with extra and be won by fifaworldcupqatar2022,Positive,0.7227
Argentina,2022-12-17 23:35:41+00:00,1604259063679930368,"#FIFAWorldCup can't wait for the exciting match between Argentina and France😍 
and also can't believe that tomorrow is the final day of world cup 2022🥹 it'll be missed",vvenusxblue,cant wait for the exciting match between and 😍 also believe that tomorrow is final day of world cup 2022 🥹 be,Positive,0.7351
Argentina,2022-12-17 23:34:27+00:00,1604258756677738498,Argentina winning the @FIFAWorldCup tomorrow will put to rest forever the rivalry between Messi and Ronaldo. #FIFAWorldCup #ArgentinaVsFrance #Messi𓃵 #Ronaldo𓃵 #PeterObiForPresident2023 #ObiDients,Sulefield1,winning the tomorrow will put to rest forever rivalry between and peterobiforpresident2023,Positive,0.5267
Argentina,2022-12-17 23:33:00+00:00,1604258389017624578,"⚡️𝐌𝐀𝐓𝐂𝐇𝐃𝐀𝐘⚡️ 

⚽ France vs Argentina 
⏰ 14:00 CET
🏟️ Lusail Stadium
🏆 #FIFAWorldCup 

Kylian Mbappè vs Leo Messi, both on a mission to create history today and both nations with a chance to be crowned a World Champion for the third time. 🏆🐐⚡️

#Qatar2022 #ARG #FRA https://t.co/c0w0t6R72x",PSG_Report,⚡️ ⚽ ⏰ 1400 🏟️ stadium 🏆 both on a mission to create history today and with chance be crowned world champion for the third time 🏆🐐⚡️ qatar2022 fra,Positive,0.6808
Argentina,2022-12-17 23:32:12+00:00,1604258188882239488,"@FIFAWorldCup You dont have to play the finale, just give the trophy to Argentina and Messi. Corrupt @FIFAWorldCup @FIFAcom, what a shame to destroy a beautiful world championship football. 2x a corrupt referee in a match with Morocco #corruptfifa https://t.co/VaBMosSC3A",khalidh1986,you dont have to play the finale just give trophy and corrupt what a shame destroy beautiful world championship football 2x referee in match with morocco,Neutral,-0.211
